timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,start
81,0.0,20933610.0,105.5261,11852860.0,64.94926,0
82,0.0,20932460.0,105.5418,11853390.0,64.94926,0
83,0.0,20932850.0,105.5441,11853920.0,64.94927,0
84,0.0,20933230.0,105.5463,11854450.0,64.94928,0
85,0.0,20933610.0,105.5486,11854980.0,64.94929,0
86,0.0,20934000.0,105.5508,11854070.0,64.9493,0
87,0.0,20934380.0,105.5486,11853160.0,64.94931,0
88,0.0,20934760.0,105.5463,11852250.0,64.94932,0
89,0.0,20931310.0,105.5441,11851350.0,64.94933,0
90,0.0,20927870.0,105.5418,11850440.0,64.94933,0
91,0.0,20929590.0,105.5452,11849530.0,64.94934,0
92,0.0,20931310.0,105.5486,11848620.0,64.94935,0
93,0.0,20933040.0,105.552,11847710.0,64.94936,0
94,0.0,20934760.0,105.5553,11846800.0,64.94936,0
95,0.0,20933610.0,105.5508,11845890.0,64.94937,0
96,0.0,20932460.0,105.5463,11844980.0,64.94939,0
97,0.0,20933040.0,105.5418,11845740.0,64.94939,0
98,0.0,20933610.0,105.5373,11846500.0,64.9494,0
99,0.0,20934190.0,105.5441,11847250.0,64.94941,0
100,0.0,20934760.0,105.5508,11848010.0,64.94942,0
101,0.0,20933610.0,105.5463,11848770.0,64.94942,0
102,0.0,20932460.0,105.5418,11849530.0,64.94943,0
103,0.0,20933610.0,105.5463,11850290.0,64.94944,0
104,0.0,20934760.0,105.5508,11851040.0,64.94945,0
105,0.0,20933610.0,105.5441,11851800.0,64.94946,0
106,0.0,20932460.0,105.5373,11852560.0,64.94947,0
107,0.0,20933040.0,105.5272,11853320.0,64.94948,0
108,0.0,20933610.0,105.5171,11853920.0,64.94949,0
109,0.0,20934190.0,105.507,11854530.0,64.94949,0
110,0.0,20934760.0,105.4968,11855130.0,64.9495,0
111,0.0,20933610.0,105.5193,11855740.0,64.94951,0
112,0.0,20932460.0,105.5418,11856350.0,64.94952,0
113,0.0,20933610.0,105.5284,11856950.0,64.94952,0
114,0.0,20934760.0,105.5148,11857560.0,64.94953,0
115,0.0,20934190.0,105.5261,11858160.0,64.94954,0
116,0.0,20933610.0,105.5373,11858770.0,64.94955,0
117,0.0,20933040.0,105.5295,11859380.0,64.94956,0
118,0.0,20932460.0,105.5216,11859980.0,64.94957,0
119,0.0,20933610.0,105.5137,11859750.0,64.94958,0
120,0.0,20934760.0,105.5058,11859530.0,64.94958,0
121,0.0,20933610.0,105.5013,11859300.0,64.94959,0
122,0.0,20932460.0,105.4968,11859070.0,64.9496,0
123,0.0,20932080.0,105.5013,11858850.0,64.94961,0
124,0.0,20931700.0,105.5058,11858620.0,64.94962,0
125,0.0,20931310.0,105.5013,11858390.0,64.94962,0
126,0.0,20930930.0,105.4968,11858160.0,64.94963,0
127,0.0,20930550.0,105.4997,11857940.0,64.94965,0
128,0.0,20930170.0,105.5025,11857710.0,64.94965,0
129,0.0,20929780.0,105.5053,11857480.0,64.94966,0
130,0.0,20929400.0,105.5081,11856500.0,64.94967,0
131,0.0,20929020.0,105.5109,11855510.0,64.94968,0
132,0.0,20928630.0,105.5137,11854530.0,64.94968,0
133,0.0,20928250.0,105.5165,11853540.0,64.94969,0
134,0.0,20927870.0,105.5193,11852560.0,64.9497,0
135,0.0,20930170.0,105.5306,11851570.0,64.94971,0
136,0.0,20932460.0,105.5418,11850590.0,64.94971,0
137,0.0,20931890.0,105.5463,11849600.0,64.94973,0
138,0.0,20931310.0,105.5508,11848620.0,64.94974,0
139,0.0,20930740.0,105.5441,11847630.0,64.94975,0
140,0.0,20930170.0,105.5373,11846650.0,64.94975,0
141,0.0,20929590.0,105.5238,11845590.0,64.94976,0
142,0.0,20929020.0,105.5103,11844530.0,64.94977,0
143,0.0,20928440.0,105.5306,11843470.0,64.94978,0
144,0.0,20927870.0,105.5508,11842410.0,64.94978,0
145,0.0,20931310.0,105.5479,11841350.0,64.94979,0
146,0.0,20934760.0,105.5448,11840290.0,64.9498,0
147,0.0,20933610.0,105.5418,11839220.0,64.94981,0
148,0.0,20932460.0,105.5388,11838160.0,64.94982,0
149,0.0,20930170.0,105.5358,11837100.0,64.94983,0
150,0.0,20927870.0,105.5328,11836040.0,64.94984,0
151,0.0,20930170.0,105.5351,11834980.0,64.94984,0
152,0.0,20932460.0,105.5373,11835360.0,64.94985,0
153,0.0,20930170.0,105.5373,11835740.0,64.94986,0
154,0.0,20927870.0,105.5373,11836120.0,64.94987,0
155,0.0,20929020.0,105.5373,11836500.0,64.94987,0
156,0.0,20930170.0,105.5373,11836880.0,64.94988,0
157,0.0,20931310.0,105.5373,11837250.0,64.9499,0
158,0.0,20932460.0,105.5373,11837630.0,64.94991,0
159,0.0,20932180.0,105.5385,11838010.0,64.94991,0
160,0.0,20931890.0,105.5396,11838390.0,64.94992,0
161,0.0,20931600.0,105.5407,11838770.0,64.94993,0
162,0.0,20931310.0,105.5418,11839150.0,64.94994,0
163,0.0,20931030.0,105.5396,11838920.0,64.94994,0
164,0.0,20930740.0,105.5373,11838690.0,64.94995,0
165,0.0,20930450.0,105.5306,11838470.0,64.94996,0
166,0.0,20930170.0,105.5238,11838240.0,64.94997,0
167,0.0,20929880.0,105.5171,11838010.0,64.94998,0
168,0.0,20929590.0,105.5103,11837790.0,64.94999,0
169,0.0,20929300.0,105.5036,11837560.0,64.95,0
170,0.0,20929020.0,105.4968,11837330.0,64.95,0
171,0.0,20928730.0,105.4957,11837100.0,64.95001,0
172,0.0,20928440.0,105.4946,11836880.0,64.95002,0
173,0.0,20928150.0,105.4935,11836650.0,64.95003,0
174,0.0,20927870.0,105.4923,11835440.0,64.95004,0
175,0.0,20928440.0,105.4946,11834220.0,64.95004,0
176,0.0,20929020.0,105.4968,11833010.0,64.95005,0
177,0.0,20929590.0,105.4991,11831800.0,64.95007,0
178,0.0,20930170.0,105.5014,11830590.0,64.95007,0
179,0.0,20930740.0,105.5036,11829380.0,64.95008,0
180,0.0,20931310.0,105.5058,11828160.0,64.95009,0
181,0.0,20931890.0,105.5081,11826950.0,64.9501,0
182,0.0,20932460.0,105.5103,11825740.0,64.9501,0
183,0.0,20932690.0,105.5081,11824530.0,64.95011,0
184,0.0,20932920.0,105.5058,11823320.0,64.95012,0
185,0.0,20933150.0,105.507,11823770.0,64.95013,0
186,0.0,20933380.0,105.5081,11824220.0,64.95013,0
187,0.0,20933610.0,105.5092,11824680.0,64.95015,0
188,0.0,20933840.0,105.5103,11825130.0,64.95016,0
189,0.0,20934070.0,105.5081,11825590.0,64.95016,0
190,0.0,20934300.0,105.5058,11826040.0,64.95017,0
191,0.0,20934530.0,105.507,11826500.0,64.95018,0
192,0.0,20934760.0,105.5081,11826950.0,64.95019,0
193,0.0,20933040.0,105.5092,11827410.0,64.9502,0
194,0.0,20931310.0,105.5103,11827860.0,64.9502,0
195,0.0,20929590.0,105.5238,11828320.0,64.95021,0
196,0.0,20927870.0,105.5373,11830360.0,64.95022,0
197,0.0,20930170.0,105.5284,11832410.0,64.95023,0
198,0.0,20932460.0,105.5193,11834450.0,64.95024,0
199,0.0,20932850.0,105.5261,11836500.0,64.95025,0
200,0.0,20933230.0,105.5328,11838540.0,64.95026,0
201,0.0,20933610.0,105.5238,11840590.0,64.95026,0
202,0.0,20934000.0,105.5148,11842630.0,64.95027,0
203,0.0,20934380.0,105.5058,11844680.0,64.95028,0
204,0.0,20934760.0,105.4968,11846720.0,64.95029,0
205,0.0,20933610.0,105.5171,11848770.0,64.95029,0
206,0.0,20932460.0,105.5373,11850820.0,64.9503,0
207,0.0,20933610.0,105.5385,11850590.0,64.95031,0
208,0.0,20934760.0,105.5396,11850360.0,64.95033,0
209,0.0,20933610.0,105.5407,11850130.0,64.95033,0
210,0.0,20932460.0,105.5418,11849910.0,64.95034,0
211,0.0,20933610.0,105.5396,11849680.0,64.95035,0
212,0.0,20934760.0,105.5373,11849450.0,64.95036,0
213,0.0,20934380.0,105.5396,11849220.0,64.95036,0
214,0.0,20934000.0,105.5418,11849000.0,64.95037,0
215,0.0,20933610.0,105.5441,11848770.0,64.95038,0
216,0.0,20933230.0,105.5463,11848540.0,64.95039,0
217,0.0,20932850.0,105.5486,11848320.0,64.95039,0
218,0.0,20932460.0,105.5508,11847940.0,64.95041,0
219,0.0,20933610.0,105.5463,11847560.0,64.95042,0
220,0.0,20934760.0,105.5418,11847180.0,64.95042,0
221,0.0,20934190.0,105.5407,11846800.0,64.95043,0
222,0.0,20933610.0,105.5396,11846420.0,64.95044,0
223,0.0,20933040.0,105.5385,11846040.0,64.95045,0
224,0.0,20932460.0,105.5373,11845660.0,64.95045,0
225,0.0,20933610.0,105.5329,11845290.0,64.95046,0
226,0.0,20934760.0,105.5284,11844910.0,64.95047,0
227,0.0,20933610.0,105.5193,11844530.0,64.95048,0
228,0.0,20932460.0,105.5103,11844150.0,64.95049,0
229,0.0,20933040.0,105.5036,11843770.0,64.9505,0
230,0.0,20933610.0,105.4968,11843390.0,64.95051,0
231,0.0,20934190.0,105.5013,11843010.0,64.95052,0
232,0.0,20934760.0,105.5058,11842630.0,64.95052,0
233,0.0,20934190.0,105.5148,11842250.0,64.95053,0
234,0.0,20933610.0,105.5238,11841880.0,64.95054,0
235,0.0,20933040.0,105.5328,11841500.0,64.95055,0
236,0.0,20932460.0,105.5418,11841120.0,64.95055,0
237,0.0,20933040.0,105.5373,11840740.0,64.95056,0
238,0.0,20933610.0,105.5328,11840360.0,64.95058,0
239,0.0,20934190.0,105.5284,11839980.0,64.95058,0
240,0.0,20934760.0,105.5238,11841040.0,64.95059,0
241,0.0,20934760.0,105.5193,11842100.0,64.9506,0
242,0.0,20934760.0,105.5148,11843160.0,64.95061,0
243,0.0,20933610.0,105.5141,11844220.0,64.95061,0
244,0.0,20932460.0,105.5133,11845290.0,64.95062,0
245,0.0,20932850.0,105.5126,11846350.0,64.95063,0
246,0.0,20933230.0,105.5118,11847410.0,64.95064,0
247,0.0,20933610.0,105.5111,11848470.0,64.95065,0
248,0.0,20934000.0,105.5103,11849530.0,64.95066,0
249,0.0,20934380.0,105.5036,11850590.0,64.95067,0
250,0.0,20934760.0,105.4968,11851650.0,64.95068,0
251,0.0,20933610.0,105.5058,11851800.0,64.95068,0
252,0.0,20932460.0,105.5148,11851950.0,64.95069,0
253,0.0,20932850.0,105.5284,11852100.0,64.9507,0
254,0.0,20933230.0,105.5418,11852250.0,64.95071,0
255,0.0,20933610.0,105.5385,11852410.0,64.95071,0
256,0.0,20934000.0,105.5351,11852560.0,64.95072,0
257,0.0,20934380.0,105.5317,11852710.0,64.95073,0
258,0.0,20934760.0,105.5284,11852860.0,64.95074,0
259,0.0,20933610.0,105.5396,11853010.0,64.95075,0
260,0.0,20932460.0,105.5508,11853160.0,64.95076,0
261,0.0,20932690.0,105.5463,11853320.0,64.95077,0
262,0.0,20932920.0,105.5418,11851800.0,64.95078,0
263,0.0,20933150.0,105.5362,11850290.0,64.95078,0
264,0.0,20933380.0,105.5306,11848770.0,64.95079,0
265,0.0,20933610.0,105.525,11847250.0,64.9508,0
266,0.0,20933840.0,105.5193,11845740.0,64.95081,0
267,0.0,20934070.0,105.5284,11844220.0,64.95081,0
268,0.0,20934300.0,105.5373,11842710.0,64.95083,0
269,0.0,20934530.0,105.5171,11841190.0,64.95084,0
270,0.0,20934760.0,105.4968,11839680.0,64.95084,0
271,0.0,20934190.0,105.5047,11838160.0,64.95085,0
272,0.0,20933610.0,105.5126,11836650.0,64.95086,0
273,0.0,20933040.0,105.5205,11837410.0,64.95087,0
274,0.0,20932460.0,105.5284,11838160.0,64.95087,0
275,0.0,20931700.0,105.5193,11838920.0,64.95088,0
276,0.0,20930930.0,105.5103,11839680.0,64.95089,0
277,0.0,20930170.0,105.507,11840440.0,64.9509,0
278,0.0,20929400.0,105.5036,11841190.0,64.95091,0
279,0.0,20928630.0,105.5002,11841950.0,64.95092,0
280,0.0,20927870.0,105.4968,11842710.0,64.95093,0
281,0.0,20930170.0,105.5013,11843470.0,64.95094,0
282,0.0,20932460.0,105.5058,11844220.0,64.95094,0
283,0.0,20932750.0,105.5081,11844980.0,64.95095,0
284,0.0,20933040.0,105.5103,11844830.0,64.95096,0
285,0.0,20933330.0,105.5081,11844680.0,64.95097,0
286,0.0,20933610.0,105.5058,11844530.0,64.95097,0
287,0.0,20933900.0,105.5081,11844380.0,64.95098,0
288,0.0,20934190.0,105.5103,11844220.0,64.95099,0
289,0.0,20934480.0,105.5328,11844070.0,64.951,0
290,0.0,20934760.0,105.5553,11843920.0,64.95101,0
291,0.0,20934380.0,105.5328,11843770.0,64.95102,0
292,0.0,20934000.0,105.5103,11843620.0,64.95103,0
293,0.0,20933610.0,105.5092,11843470.0,64.95103,0
294,0.0,20933230.0,105.5081,11843320.0,64.95104,0
295,0.0,20932850.0,105.507,11842180.0,64.95105,0
296,0.0,20932460.0,105.5058,11841040.0,64.95106,0
297,0.0,20932750.0,105.5013,11839910.0,64.95107,0
298,0.0,20933040.0,105.4968,11838770.0,64.95107,0
299,0.0,20933330.0,105.4946,11837630.0,64.95109,0
300,0.0,20933610.0,105.4923,11836500.0,64.9511,0
301,0.0,20933900.0,105.4946,11835360.0,64.9511,0
302,0.0,20934190.0,105.4968,11834220.0,64.95111,0
303,0.0,20934480.0,105.498,11833090.0,64.95112,0
304,0.0,20934760.0,105.4991,11831950.0,64.95113,0
305,0.0,20933040.0,105.5002,11830820.0,64.95113,0
306,0.0,20931310.0,105.5013,11832330.0,64.95114,0
307,0.0,20929590.0,105.5025,11833850.0,64.95115,0
308,0.0,20927870.0,105.5036,11835360.0,64.95116,0
309,0.0,20930170.0,105.5047,11836880.0,64.95117,0
310,0.0,20932460.0,105.5058,11838390.0,64.95118,0
311,0.0,20932560.0,105.5013,11839910.0,64.95119,0
312,0.0,20932660.0,105.4968,11841420.0,64.95119,0
313,0.0,20932750.0,105.4946,11842940.0,64.9512,0
314,0.0,20932850.0,105.4923,11844450.0,64.95121,0
315,0.0,20932940.0,105.4946,11845970.0,64.95122,0
316,0.0,20933040.0,105.4968,11847480.0,64.95123,0
317,0.0,20933130.0,105.5036,11849000.0,64.95123,0
318,0.0,20933230.0,105.5103,11850510.0,64.95124,0
319,0.0,20933330.0,105.5058,11852030.0,64.95126,0
320,0.0,20933420.0,105.5013,11853540.0,64.95126,0
321,0.0,20933520.0,105.4968,11855060.0,64.95127,0
322,0.0,20933610.0,105.4923,11856570.0,64.95128,0
323,0.0,20933710.0,105.5013,11858090.0,64.95129,0
324,0.0,20933800.0,105.5103,11859600.0,64.95129,0
325,0.0,20933900.0,105.516,11861120.0,64.9513,0
326,0.0,20934000.0,105.5216,11862630.0,64.95131,0
327,0.0,20934090.0,105.5272,11864150.0,64.95132,0
328,0.0,20934190.0,105.5328,11861500.0,64.95132,0
329,0.0,20934280.0,105.5373,11858850.0,64.95134,0
330,0.0,20934380.0,105.5418,11856190.0,64.95135,0
331,0.0,20934480.0,105.5441,11853540.0,64.95135,0
332,0.0,20934570.0,105.5463,11850890.0,64.95136,0
333,0.0,20934670.0,105.5486,11848240.0,64.95137,0
334,0.0,20934760.0,105.5508,11845590.0,64.95138,0
335,0.0,20934190.0,105.5486,11842940.0,64.95139,0
336,0.0,20933610.0,105.5463,11840290.0,64.95139,0
337,0.0,20933040.0,105.5441,11837630.0,64.9514,0
338,0.0,20932460.0,105.5418,11834980.0,64.95141,0
339,0.0,20933610.0,105.5486,11834600.0,64.95142,0
340,0.0,20934760.0,105.5553,11834220.0,64.95143,0
341,0.0,20934190.0,105.5373,11833850.0,64.95144,0
342,0.0,20933610.0,105.5193,11833470.0,64.95145,0
343,0.0,20933040.0,105.5351,11833090.0,64.95145,0
344,0.0,20932460.0,105.5508,11832710.0,64.95146,0
345,0.0,20930170.0,105.5463,11832330.0,64.95147,0
346,0.0,20927870.0,105.5418,11831950.0,64.95148,0
347,0.0,20931310.0,105.5463,11831570.0,64.95148,0
348,0.0,20934760.0,105.5508,11831190.0,64.95149,0
349,0.0,20934480.0,105.5497,11830820.0,64.95151,0
350,0.0,20934190.0,105.5486,11833770.0,64.95152,0
351,0.0,20933900.0,105.5475,11836720.0,64.95152,0
352,0.0,20933610.0,105.5463,11839680.0,64.95153,0
353,0.0,20933330.0,105.5452,11842630.0,64.95154,0
354,0.0,20933040.0,105.5441,11845590.0,64.95155,0
355,0.0,20932750.0,105.543,11848540.0,64.95155,0
356,0.0,20932460.0,105.5418,11851500.0,64.95156,0
357,0.0,20932460.0,105.5463,11854450.0,64.95157,0
358,0.0,20932460.0,105.5508,11857410.0,64.95158,0
359,0.0,20932690.0,105.5374,11860360.0,64.95159,0
360,0.0,20932920.0,105.5238,11863320.0,64.9516,0
361,0.0,20933150.0,105.5103,11863390.0,64.95161,0
362,0.0,20933380.0,105.4968,11863470.0,64.95161,0
363,0.0,20933610.0,105.4991,11863540.0,64.95162,0
364,0.0,20933840.0,105.5013,11863620.0,64.95163,0
365,0.0,20934070.0,105.5036,11863690.0,64.95164,0
366,0.0,20934300.0,105.5058,11863770.0,64.95164,0
367,0.0,20934530.0,105.5103,11863850.0,64.95165,0
368,0.0,20934760.0,105.5148,11863920.0,64.95166,0
369,0.0,20935910.0,105.5058,11864000.0,64.95167,0
370,0.0,20937060.0,105.4968,11864070.0,64.95168,0
371,0.0,20935910.0,105.5126,11864150.0,64.95169,0
372,0.0,20934760.0,105.5284,11862330.0,64.9517,0
373,0.0,20935910.0,105.5396,11860510.0,64.95171,0
374,0.0,20937060.0,105.5508,11858690.0,64.95171,0
375,0.0,20935910.0,105.5486,11856880.0,64.95172,0
376,0.0,20934760.0,105.5463,11855060.0,64.95173,0
377,0.0,20933610.0,105.5441,11853240.0,64.95174,0
378,0.0,20932460.0,105.5418,11851420.0,64.95174,0
379,0.0,20933040.0,105.5486,11849600.0,64.95175,0
380,0.0,20933610.0,105.5553,11847790.0,64.95177,0
381,0.0,20934190.0,105.5351,11845970.0,64.95177,0
382,0.0,20934760.0,105.5148,11844150.0,64.95178,0
383,0.0,20934190.0,105.5103,11844070.0,64.95179,0
384,0.0,20933610.0,105.5058,11844000.0,64.9518,0
385,0.0,20933040.0,105.507,11843920.0,64.95181,0
386,0.0,20932460.0,105.5081,11843850.0,64.95181,0
387,0.0,20933610.0,105.5092,11843770.0,64.95182,0
388,0.0,20934760.0,105.5103,11843690.0,64.95183,0
389,0.0,20934190.0,105.5096,11843620.0,64.95184,0
390,0.0,20933610.0,105.5088,11843540.0,64.95185,0
391,0.0,20933040.0,105.5081,11843470.0,64.95186,0
392,0.0,20932460.0,105.5073,11843390.0,64.95187,0
393,0.0,20932660.0,105.5066,11843320.0,64.95187,0
394,0.0,20932850.0,105.5058,11845360.0,64.95188,0
395,0.0,20933040.0,105.5081,11847410.0,64.95189,0
396,0.0,20933230.0,105.5103,11849450.0,64.9519,0
397,0.0,20933420.0,105.5081,11851500.0,64.9519,0
398,0.0,20933610.0,105.5058,11853540.0,64.95191,0
399,0.0,20933800.0,105.5066,11855590.0,64.95192,0
400,0.0,20934000.0,105.5073,11857630.0,64.95193,0
401,0.0,20934190.0,105.5081,11859680.0,64.95194,0
402,0.0,20934380.0,105.5088,11861720.0,64.95195,0
403,0.0,20934570.0,105.5096,11863770.0,64.95196,0
404,0.0,20934760.0,105.5103,11865820.0,64.95197,0
405,0.0,20931310.0,105.5126,11865360.0,64.95197,0
406,0.0,20927870.0,105.5148,11864910.0,64.95198,0
407,0.0,20931310.0,105.5103,11864450.0,64.95199,0
408,0.0,20934760.0,105.5058,11864000.0,64.952,0
409,0.0,20934190.0,105.5081,11863540.0,64.952,0
410,0.0,20933610.0,105.5103,11863090.0,64.95202,0
411,0.0,20933040.0,105.5036,11862630.0,64.95203,0
412,0.0,20932460.0,105.4968,11862180.0,64.95203,0
413,0.0,20932850.0,105.5171,11861720.0,64.95204,0
414,0.0,20933230.0,105.5373,11861270.0,64.95205,0
415,0.0,20933610.0,105.5329,11860820.0,64.95206,0
416,0.0,20934000.0,105.5284,11859380.0,64.95206,0
417,0.0,20934380.0,105.5193,11857940.0,64.95207,0
418,0.0,20934760.0,105.5103,11856500.0,64.95208,0
419,0.0,20933610.0,105.5036,11855060.0,64.95209,0
420,0.0,20932460.0,105.4968,11853620.0,64.9521,0
421,0.0,20932630.0,105.5036,11852180.0,64.95211,0
422,0.0,20932790.0,105.5103,11850740.0,64.95212,0
423,0.0,20932960.0,105.507,11849300.0,64.95213,0
424,0.0,20933120.0,105.5036,11847860.0,64.95213,0
425,0.0,20933280.0,105.5002,11846420.0,64.95214,0
426,0.0,20933450.0,105.4968,11844980.0,64.95215,0
427,0.0,20933610.0,105.4991,11845290.0,64.95216,0
428,0.0,20933780.0,105.5013,11845590.0,64.95216,0
429,0.0,20933940.0,105.5036,11845890.0,64.95217,0
430,0.0,20934100.0,105.5058,11846190.0,64.95219,0
431,0.0,20934270.0,105.5216,11846500.0,64.95219,0
432,0.0,20934430.0,105.5373,11846800.0,64.9522,0
433,0.0,20934600.0,105.5216,11847100.0,64.95221,0
434,0.0,20934760.0,105.5058,11847410.0,64.95222,0
435,0.0,20931310.0,105.5216,11847710.0,64.95222,0
436,0.0,20927870.0,105.5373,11848010.0,64.95223,0
437,0.0,20930170.0,105.5441,11848320.0,64.95224,0
438,0.0,20932460.0,105.5508,11849380.0,64.95225,0
439,0.0,20933610.0,105.5553,11850440.0,64.95226,0
440,0.0,20934760.0,105.5598,11851500.0,64.95227,0
441,0.0,20931310.0,105.5508,11852560.0,64.95228,0
442,0.0,20927870.0,105.5418,11853620.0,64.95229,0
443,0.0,20931310.0,105.5463,11854680.0,64.95229,0
444,0.0,20934760.0,105.5508,11855740.0,64.9523,0
445,0.0,20933610.0,105.5463,11856800.0,64.95231,0
446,0.0,20932460.0,105.5418,11857860.0,64.95232,0
447,0.0,20932750.0,105.5328,11858920.0,64.95232,0
448,0.0,20933040.0,105.5238,11859980.0,64.95233,0
449,0.0,20933330.0,105.5148,11861270.0,64.95234,0
450,0.0,20933610.0,105.5058,11862560.0,64.95235,0
451,0.0,20933900.0,105.5013,11863850.0,64.95236,0
452,0.0,20934190.0,105.4968,11865130.0,64.95237,0
453,0.0,20934480.0,105.5036,11866420.0,64.95238,0
454,0.0,20934760.0,105.5103,11867710.0,64.95238,0
455,0.0,20933610.0,105.5193,11869000.0,64.95239,0
456,0.0,20932460.0,105.5284,11870290.0,64.9524,0
457,0.0,20932850.0,105.5351,11871570.0,64.95241,0
458,0.0,20933230.0,105.5418,11872860.0,64.95242,0
459,0.0,20933610.0,105.5463,11874150.0,64.95242,0
460,0.0,20934000.0,105.5508,11873240.0,64.95243,0
461,0.0,20934380.0,105.5329,11872330.0,64.95245,0
462,0.0,20934760.0,105.5148,11871420.0,64.95245,0
463,0.0,20931310.0,105.5171,11870510.0,64.95246,0
