timestamp,P-PDG,P-TPT,T-TPT,start
86,26493940.0,13986640.0,110.0003,0
87,26493970.0,13986630.0,110.0016,0
88,26493990.0,13986620.0,110.0028,0
89,26494020.0,13986610.0,110.0041,0
90,26494030.0,13986600.0,110.0053,0
91,26494040.0,13986590.0,110.0066,0
92,26494050.0,13986580.0,110.0078,0
93,26494060.0,13986580.0,110.0091,0
94,26494070.0,13986570.0,110.0103,0
95,26494080.0,13986560.0,110.0116,0
96,26494090.0,13986550.0,110.0128,0
97,26494100.0,13986540.0,110.0141,0
98,26494110.0,13986530.0,110.0153,0
99,26494130.0,13986520.0,110.0166,0
100,26494130.0,13986510.0,110.0178,0
101,26494110.0,13986500.0,110.0191,0
102,26494080.0,13986490.0,110.0203,0
103,26494050.0,13986480.0,110.0216,0
104,26494020.0,13986470.0,110.0228,0
105,26493990.0,13986470.0,110.0241,0
106,26493960.0,13986460.0,110.0253,0
107,26493930.0,13986450.0,110.0266,0
108,26493910.0,13986440.0,110.0278,0
109,26493880.0,13986430.0,110.0291,0
110,26493850.0,13986420.0,110.0303,0
111,26493820.0,13986410.0,110.0316,0
112,26493810.0,13986370.0,110.0307,0
113,26493800.0,13986330.0,110.0299,0
114,26493790.0,13986280.0,110.0291,0
115,26493780.0,13986240.0,110.0282,0
116,26493770.0,13986200.0,110.0274,0
117,26493760.0,13986160.0,110.0266,0
118,26493750.0,13986110.0,110.0257,0
119,26493740.0,13986070.0,110.0249,0
120,26493730.0,13986030.0,110.0241,0
121,26493720.0,13985980.0,110.0232,0
122,26493710.0,13985940.0,110.0224,0
123,26493750.0,13985900.0,110.0216,0
124,26493790.0,13985860.0,110.0207,0
125,26493820.0,13985820.0,110.0199,0
126,26493860.0,13985770.0,110.0191,0
127,26493900.0,13985730.0,110.0182,0
128,26493940.0,13985690.0,110.0174,0
129,26493980.0,13985640.0,110.0166,0
130,26494010.0,13985600.0,110.0157,0
131,26494050.0,13985560.0,110.0149,0
132,26494090.0,13985520.0,110.0141,0
133,26494130.0,13985480.0,110.0132,0
134,26494110.0,13985430.0,110.0124,0
135,26494090.0,13985390.0,110.0116,0
136,26494070.0,13985350.0,110.0107,0
137,26494060.0,13985300.0,110.0099,0
138,26494040.0,13985260.0,110.0091,0
139,26494020.0,13985220.0,110.0082,0
140,26494000.0,13985180.0,110.0074,0
141,26493980.0,13985130.0,110.0066,0
142,26493970.0,13985090.0,110.0057,0
143,26493950.0,13985050.0,110.0049,0
144,26493930.0,13985010.0,110.0041,0
145,26493920.0,13985770.0,110.0051,0
146,26493920.0,13986540.0,110.0061,0
147,26493910.0,13987300.0,110.0071,0
148,26493900.0,13988070.0,110.0081,0
149,26493890.0,13988840.0,110.0091,0
150,26493880.0,13989600.0,110.0101,0
151,26493880.0,13990370.0,110.0111,0
152,26493870.0,13991130.0,110.0121,0
153,26493860.0,13991900.0,110.0131,0
154,26493850.0,13992670.0,110.0141,0
155,26493840.0,13993430.0,110.0151,0
156,26493820.0,13994200.0,110.0161,0
157,26493800.0,13994960.0,110.0171,0
158,26493770.0,13995730.0,110.0181,0
159,26493750.0,13996500.0,110.0191,0
160,26493730.0,13997260.0,110.0201,0
161,26493700.0,13998030.0,110.0211,0
162,26493680.0,13998790.0,110.0221,0
163,26493660.0,13999560.0,110.0231,0
164,26493640.0,14000330.0,110.0241,0
165,26493610.0,14001090.0,110.0251,0
166,26493590.0,14001860.0,110.0261,0
167,26493590.0,14001390.0,110.0256,0
168,26493590.0,14000920.0,110.0252,0
169,26493590.0,14000450.0,110.0248,0
170,26493590.0,13999990.0,110.0244,0
171,26493590.0,13999520.0,110.024,0
172,26493590.0,13999050.0,110.0236,0
173,26493580.0,13998580.0,110.0231,0
174,26493580.0,13998110.0,110.0227,0
175,26493580.0,13997650.0,110.0223,0
176,26493580.0,13997180.0,110.0219,0
177,26493580.0,13996710.0,110.0215,0
178,26493600.0,13996240.0,110.0211,0
179,26493630.0,13995770.0,110.0206,0
180,26493650.0,13995300.0,110.0202,0
181,26493680.0,13994840.0,110.0198,0
182,26493700.0,13994370.0,110.0194,0
183,26493730.0,13993900.0,110.019,0
184,26493750.0,13993430.0,110.0186,0
185,26493770.0,13992960.0,110.0181,0
186,26493800.0,13992500.0,110.0177,0
187,26493820.0,13992030.0,110.0173,0
188,26493850.0,13991560.0,110.0169,0
189,26493840.0,13991090.0,110.0165,0
190,26493840.0,13990620.0,110.0161,0
191,26493840.0,13990160.0,110.0156,0
192,26493830.0,13989690.0,110.0152,0
193,26493830.0,13989220.0,110.0148,0
194,26493820.0,13988750.0,110.0144,0
195,26493820.0,13988280.0,110.014,0
196,26493810.0,13987810.0,110.0136,0
197,26493810.0,13987350.0,110.0131,0
198,26493800.0,13986880.0,110.0127,0
199,26493800.0,13986410.0,110.0123,0
200,26493790.0,13986370.0,110.0114,0
201,26493780.0,13986330.0,110.0105,0
202,26493770.0,13986280.0,110.0096,0
203,26493760.0,13986240.0,110.0087,0
204,26493750.0,13986200.0,110.0077,0
205,26493740.0,13986160.0,110.0068,0
206,26493730.0,13986110.0,110.0059,0
207,26493720.0,13986070.0,110.005,0
208,26493710.0,13986030.0,110.0041,0
209,26493700.0,13985980.0,110.0032,0
210,26493690.0,13985940.0,110.0022,0
211,26493670.0,13985900.0,110.0013,0
212,26493650.0,13985860.0,110.0004,0
213,26493620.0,13985820.0,109.9995,0
214,26493600.0,13985770.0,109.9986,0
215,26493580.0,13985730.0,109.9977,0
216,26493560.0,13985690.0,109.9967,0
217,26493540.0,13985640.0,109.9958,0
218,26493520.0,13985600.0,109.9949,0
219,26493500.0,13985560.0,109.994,0
220,26493480.0,13985520.0,109.9931,0
221,26493460.0,13985480.0,109.9921,0
222,26493470.0,13985430.0,109.9912,0
223,26493480.0,13985390.0,109.9903,0
224,26493490.0,13985350.0,109.9894,0
225,26493500.0,13985300.0,109.9885,0
226,26493510.0,13985260.0,109.9876,0
227,26493520.0,13985220.0,109.9867,0
228,26493530.0,13985180.0,109.9857,0
229,26493540.0,13985130.0,109.9848,0
230,26493550.0,13985090.0,109.9839,0
231,26493560.0,13985050.0,109.983,0
232,26493580.0,13985010.0,109.9821,0
233,26493610.0,13985090.0,109.9822,0
234,26493650.0,13985180.0,109.9822,0
235,26493690.0,13985260.0,109.9823,0
236,26493730.0,13985350.0,109.9824,0
237,26493760.0,13985430.0,109.9825,0
238,26493800.0,13985520.0,109.9826,0
239,26493840.0,13985600.0,109.9827,0
240,26493870.0,13985690.0,109.9827,0
241,26493910.0,13985770.0,109.9828,0
242,26493950.0,13985860.0,109.9829,0
243,26493980.0,13985940.0,109.983,0
244,26493960.0,13986030.0,109.9831,0
245,26493930.0,13986110.0,109.9832,0
246,26493910.0,13986200.0,109.9832,0
247,26493880.0,13986280.0,109.9833,0
248,26493860.0,13986370.0,109.9834,0
249,26493830.0,13986450.0,109.9835,0
250,26493800.0,13986540.0,109.9836,0
251,26493780.0,13986630.0,109.9837,0
252,26493760.0,13986710.0,109.9837,0
253,26493730.0,13986800.0,109.9838,0
254,26493700.0,13986880.0,109.9839,0
255,26493710.0,13986970.0,109.984,0
256,26493720.0,13987050.0,109.9841,0
257,26493730.0,13987140.0,109.9842,0
258,26493740.0,13987220.0,109.9842,0
259,26493750.0,13987310.0,109.9843,0
260,26493750.0,13987390.0,109.9844,0
261,26493760.0,13987480.0,109.9845,0
262,26493770.0,13987560.0,109.9846,0
263,26493780.0,13987650.0,109.9846,0
264,26493790.0,13987730.0,109.9847,0
265,26493800.0,13987820.0,109.9848,0
266,26493800.0,13987750.0,109.9852,0
267,26493790.0,13987690.0,109.9855,0
268,26493790.0,13987630.0,109.9859,0
269,26493790.0,13987560.0,109.9862,0
270,26493790.0,13987500.0,109.9866,0
271,26493790.0,13987430.0,109.9869,0
272,26493790.0,13987370.0,109.9873,0
273,26493790.0,13987310.0,109.9876,0
274,26493790.0,13987240.0,109.988,0
275,26493780.0,13987180.0,109.9883,0
276,26493780.0,13987110.0,109.9887,0
277,26493750.0,13987050.0,109.989,0
278,26493710.0,13986990.0,109.9894,0
279,26493670.0,13986920.0,109.9897,0
280,26493640.0,13986860.0,109.9901,0
281,26493600.0,13986790.0,109.9904,0
282,26493570.0,13986730.0,109.9908,0
283,26493530.0,13986670.0,109.9911,0
284,26493490.0,13986600.0,109.9915,0
285,26493460.0,13986540.0,109.9918,0
286,26493420.0,13986470.0,109.9922,0
287,26493380.0,13986410.0,109.9925,0
288,26493400.0,13986450.0,109.9929,0
289,26493410.0,13986500.0,109.9932,0
290,26493430.0,13986540.0,109.9936,0
291,26493440.0,13986580.0,109.9939,0
292,26493460.0,13986620.0,109.9943,0
293,26493480.0,13986670.0,109.9946,0
294,26493490.0,13986710.0,109.995,0
295,26493510.0,13986750.0,109.9953,0
296,26493520.0,13986790.0,109.9957,0
297,26493540.0,13986840.0,109.996,0
298,26493550.0,13986880.0,109.9964,0
299,26493560.0,13986920.0,109.9967,0
300,26493570.0,13986960.0,109.9971,0
301,26493580.0,13987010.0,109.9974,0
302,26493590.0,13987050.0,109.9978,0
303,26493600.0,13987090.0,109.9981,0
304,26493610.0,13987140.0,109.9985,0
305,26493620.0,13987180.0,109.9988,0
306,26493620.0,13987220.0,109.9992,0
307,26493630.0,13987260.0,109.9995,0
308,26493640.0,13987310.0,109.9999,0
309,26493650.0,13987350.0,110.0002,0
310,26493660.0,13987390.0,110.0006,0
311,26493660.0,13987430.0,110.0009,0
312,26493670.0,13987480.0,110.0013,0
313,26493680.0,13987520.0,110.0016,0
314,26493680.0,13987560.0,110.002,0
315,26493690.0,13987600.0,110.0023,0
316,26493700.0,13987650.0,110.0027,0
317,26493700.0,13987690.0,110.003,0
318,26493710.0,13987730.0,110.0034,0
319,26493710.0,13987770.0,110.0037,0
320,26493720.0,13987820.0,110.0041,0
321,26493710.0,13987730.0,110.0036,0
322,26493700.0,13987650.0,110.0031,0
323,26493690.0,13987560.0,110.0026,0
324,26493670.0,13987480.0,110.0021,0
325,26493660.0,13987390.0,110.0016,0
326,26493650.0,13987310.0,110.0011,0
327,26493640.0,13987220.0,110.0006,0
328,26493620.0,13987140.0,110.0001,0
329,26493620.0,13987050.0,109.9996,0
330,26493600.0,13986970.0,109.9991,0
331,26493590.0,13986880.0,109.9986,0
332,26493640.0,13986800.0,109.9981,0
333,26493690.0,13986710.0,109.9976,0
334,26493730.0,13986630.0,109.9971,0
335,26493780.0,13986540.0,109.9966,0
336,26493830.0,13986450.0,109.9961,0
337,26493880.0,13986370.0,109.9956,0
338,26493920.0,13986280.0,109.9951,0
339,26493970.0,13986200.0,109.9946,0
340,26494020.0,13986110.0,109.9941,0
341,26494070.0,13986030.0,109.9936,0
342,26494120.0,13985940.0,109.9931,0
343,26494100.0,13985860.0,109.9926,0
344,26494090.0,13985770.0,109.9921,0
345,26494080.0,13985690.0,109.9916,0
346,26494070.0,13985600.0,109.9911,0
347,26494060.0,13985520.0,109.9906,0
348,26494040.0,13985430.0,109.9901,0
349,26494030.0,13985350.0,109.9896,0
350,26494020.0,13985260.0,109.9891,0
351,26494010.0,13985180.0,109.9886,0
352,26493990.0,13985090.0,109.9881,0
353,26493980.0,13985010.0,109.9876,0
354,26494040.0,13985200.0,109.9884,0
355,26494100.0,13985390.0,109.9893,0
356,26494160.0,13985580.0,109.9902,0
357,26494210.0,13985770.0,109.9911,0
358,26494270.0,13985960.0,109.9919,0
359,26494330.0,13986160.0,109.9928,0
360,26494390.0,13986350.0,109.9937,0
361,26494450.0,13986540.0,109.9946,0
362,26494510.0,13986730.0,109.9954,0
363,26494560.0,13986920.0,109.9963,0
364,26494620.0,13987110.0,109.9972,0
365,26494600.0,13987310.0,109.9981,0
366,26494590.0,13987500.0,109.9989,0
367,26494570.0,13987690.0,109.9998,0
368,26494550.0,13987880.0,110.0007,0
369,26494530.0,13988070.0,110.0016,0
370,26494520.0,13988260.0,110.0024,0
371,26494500.0,13988460.0,110.0033,0
372,26494480.0,13988650.0,110.0042,0
373,26494460.0,13988840.0,110.0051,0
374,26494450.0,13989030.0,110.0059,0
375,26494430.0,13989220.0,110.0068,0
376,26494420.0,13989090.0,110.0067,0
377,26494410.0,13988970.0,110.0067,0
378,26494400.0,13988840.0,110.0066,0
379,26494380.0,13988710.0,110.0065,0
380,26494370.0,13988580.0,110.0064,0
381,26494360.0,13988460.0,110.0063,0
382,26494350.0,13988330.0,110.0062,0
383,26494340.0,13988200.0,110.0062,0
384,26494330.0,13988070.0,110.0061,0
385,26494310.0,13987940.0,110.006,0
386,26494300.0,13987820.0,110.0059,0
387,26494230.0,13987690.0,110.0058,0
388,26494160.0,13987560.0,110.0057,0
389,26494090.0,13987430.0,110.0057,0
390,26494020.0,13987310.0,110.0056,0
391,26493950.0,13987180.0,110.0055,0
392,26493880.0,13987050.0,110.0054,0
393,26493800.0,13986920.0,110.0053,0
394,26493730.0,13986800.0,110.0052,0
395,26493660.0,13986670.0,110.0052,0
396,26493590.0,13986540.0,110.0051,0
397,26493520.0,13986410.0,110.005,0
398,26493580.0,13986280.0,110.0049,0
399,26493630.0,13986160.0,110.0048,0
400,26493690.0,13986030.0,110.0047,0
401,26493740.0,13985900.0,110.0047,0
402,26493800.0,13985770.0,110.0046,0
403,26493850.0,13985640.0,110.0045,0
404,26493910.0,13985520.0,110.0044,0
405,26493960.0,13985390.0,110.0043,0
406,26494020.0,13985260.0,110.0042,0
407,26494070.0,13985130.0,110.0042,0
408,26494130.0,13985010.0,110.0041,0
409,26494160.0,13985090.0,110.0042,0
410,26494190.0,13985180.0,110.0042,0
411,26494220.0,13985260.0,110.0043,0
412,26494250.0,13985350.0,110.0044,0
413,26494280.0,13985430.0,110.0045,0
414,26494310.0,13985520.0,110.0046,0
415,26494350.0,13985600.0,110.0047,0
416,26494380.0,13985690.0,110.0047,0
417,26494410.0,13985770.0,110.0048,0
418,26494440.0,13985860.0,110.0049,0
419,26494470.0,13985940.0,110.005,0
420,26494500.0,13986030.0,110.0051,0
421,26494530.0,13986110.0,110.0052,0
422,26494560.0,13986200.0,110.0052,0
423,26494600.0,13986280.0,110.0053,0
424,26494630.0,13986370.0,110.0054,0
425,26494660.0,13986450.0,110.0055,0
426,26494690.0,13986540.0,110.0056,0
427,26494720.0,13986630.0,110.0057,0
428,26494750.0,13986710.0,110.0057,0
429,26494780.0,13986800.0,110.0058,0
430,26494810.0,13986880.0,110.0059,0
431,26494720.0,13986970.0,110.006,0
432,26494630.0,13987050.0,110.0061,0
433,26494530.0,13987140.0,110.0062,0
434,26494440.0,13987220.0,110.0062,0
435,26494350.0,13987310.0,110.0063,0
436,26494260.0,13987390.0,110.0064,0
437,26494170.0,13987480.0,110.0065,0
438,26494080.0,13987560.0,110.0066,0
439,26493990.0,13987650.0,110.0067,0
440,26493900.0,13987730.0,110.0067,0
441,26493800.0,13987820.0,110.0068,0
442,26493800.0,13987730.0,110.0063,0
443,26493790.0,13987650.0,110.0058,0
444,26493780.0,13987560.0,110.0053,0
445,26493770.0,13987480.0,110.0048,0
446,26493770.0,13987390.0,110.0043,0
447,26493760.0,13987310.0,110.0038,0
448,26493750.0,13987220.0,110.0033,0
449,26493740.0,13987140.0,110.0028,0
450,26493740.0,13987050.0,110.0023,0
451,26493730.0,13986970.0,110.0018,0
452,26493720.0,13986880.0,110.0013,0
453,26493730.0,13986800.0,110.0008,0
454,26493740.0,13986710.0,110.0003,0
455,26493740.0,13986630.0,109.9998,0
456,26493750.0,13986540.0,109.9993,0
457,26493760.0,13986450.0,109.9988,0
458,26493770.0,13986370.0,109.9983,0
459,26493770.0,13986280.0,109.9978,0
460,26493780.0,13986200.0,109.9973,0
461,26493780.0,13986110.0,109.9968,0
462,26493790.0,13986030.0,109.9963,0
463,26493800.0,13985940.0,109.9958,0
464,26493810.0,13985860.0,109.9953,0
465,26493820.0,13985770.0,109.9948,0
466,26493840.0,13985690.0,109.9943,0
467,26493850.0,13985600.0,109.9938,0
468,26493860.0,13985520.0,109.9933,0
469,26493880.0,13985430.0,109.9928,0
470,26493890.0,13985350.0,109.9923,0
471,26493900.0,13985260.0,109.9918,0
472,26493910.0,13985180.0,109.9913,0
473,26493920.0,13985090.0,109.9908,0
474,26493940.0,13985010.0,109.9903,0
475,26493930.0,13985130.0,109.9901,0
476,26493930.0,13985260.0,109.9898,0
477,26493920.0,13985390.0,109.9896,0
478,26493910.0,13985520.0,109.9893,0
479,26493910.0,13985650.0,109.9891,0
480,26493910.0,13985770.0,109.9888,0
481,26493900.0,13985900.0,109.9886,0
482,26493900.0,13986030.0,109.9883,0
483,26493890.0,13986160.0,109.9881,0
484,26493890.0,13986280.0,109.9878,0
485,26493880.0,13986410.0,109.9876,0
486,26493890.0,13986540.0,109.9873,0
487,26493910.0,13986670.0,109.9871,0
488,26493910.0,13986800.0,109.9868,0
489,26493930.0,13986920.0,109.9866,0
490,26493940.0,13987050.0,109.9863,0
491,26493950.0,13987180.0,109.9861,0
492,26493960.0,13987310.0,109.9858,0
493,26493980.0,13987430.0,109.9856,0
494,26493980.0,13987560.0,109.9853,0
495,26494000.0,13987690.0,109.9851,0
496,26494010.0,13987820.0,109.9848,0
497,26493980.0,13987730.0,109.9851,0
498,26493950.0,13987650.0,109.9853,0
499,26493910.0,13987560.0,109.9856,0
500,26493880.0,13987480.0,109.9858,0
501,26493850.0,13987390.0,109.9861,0
502,26493810.0,13987310.0,109.9863,0
503,26493780.0,13987220.0,109.9866,0
504,26493750.0,13987140.0,109.9868,0
505,26493720.0,13987050.0,109.9871,0
506,26493690.0,13986970.0,109.9873,0
507,26493650.0,13986880.0,109.9876,0
508,26493640.0,13986800.0,109.9878,0
509,26493630.0,13986710.0,109.9881,0
510,26493620.0,13986630.0,109.9883,0
511,26493600.0,13986540.0,109.9886,0
512,26493590.0,13986450.0,109.9888,0
513,26493580.0,13986370.0,109.9891,0
514,26493570.0,13986280.0,109.9893,0
515,26493560.0,13986200.0,109.9896,0
516,26493550.0,13986110.0,109.9898,0
517,26493530.0,13986030.0,109.9901,0
518,26493520.0,13985940.0,109.9903,0
519,26493520.0,13985860.0,109.9906,0
520,26493520.0,13985770.0,109.9908,0
521,26493520.0,13985690.0,109.9911,0
522,26493520.0,13985600.0,109.9913,0
523,26493520.0,13985520.0,109.9916,0
524,26493520.0,13985430.0,109.9918,0
525,26493510.0,13985350.0,109.9921,0
526,26493510.0,13985260.0,109.9923,0
527,26493510.0,13985180.0,109.9926,0
528,26493510.0,13985090.0,109.9928,0
529,26493510.0,13985010.0,109.9931,0
530,26493520.0,13985050.0,109.993,0
531,26493530.0,13985090.0,109.9929,0
532,26493550.0,13985130.0,109.9928,0
533,26493560.0,13985180.0,109.9927,0
534,26493570.0,13985220.0,109.9927,0
535,26493590.0,13985260.0,109.9926,0
536,26493600.0,13985300.0,109.9925,0
537,26493610.0,13985350.0,109.9924,0
538,26493620.0,13985390.0,109.9923,0
539,26493640.0,13985430.0,109.9922,0
540,26493650.0,13985480.0,109.9922,0
541,26493700.0,13985520.0,109.9921,0
542,26493740.0,13985560.0,109.992,0
543,26493780.0,13985600.0,109.9919,0
544,26493830.0,13985640.0,109.9918,0
545,26493880.0,13985690.0,109.9917,0
546,26493920.0,13985730.0,109.9917,0
547,26493960.0,13985770.0,109.9916,0
548,26494010.0,13985820.0,109.9915,0
549,26494060.0,13985860.0,109.9914,0
550,26494100.0,13985900.0,109.9913,0
551,26494140.0,13985940.0,109.9912,0
552,26494110.0,13985980.0,109.9912,0
553,26494090.0,13986030.0,109.9911,0
554,26494060.0,13986070.0,109.991,0
555,26494020.0,13986110.0,109.9909,0
556,26493990.0,13986160.0,109.9908,0
557,26493970.0,13986200.0,109.9907,0
558,26493940.0,13986240.0,109.9907,0
559,26493910.0,13986280.0,109.9906,0
560,26493880.0,13986330.0,109.9905,0
561,26493850.0,13986370.0,109.9904,0
562,26493820.0,13986410.0,109.9903,0
563,26493830.0,13986370.0,109.9902,0
564,26493830.0,13986330.0,109.99,0
565,26493840.0,13986280.0,109.9898,0
566,26493850.0,13986240.0,109.9897,0
567,26493860.0,13986200.0,109.9895,0
568,26493860.0,13986160.0,109.9893,0
569,26493870.0,13986110.0,109.9892,0
570,26493880.0,13986070.0,109.989,0
571,26493890.0,13986030.0,109.9888,0
572,26493890.0,13985980.0,109.9887,0
573,26493900.0,13985940.0,109.9885,0
574,26493910.0,13985900.0,109.9883,0
575,26493920.0,13985860.0,109.9882,0
576,26493920.0,13985820.0,109.988,0
577,26493930.0,13985770.0,109.9878,0
578,26493940.0,13985730.0,109.9877,0
579,26493950.0,13985690.0,109.9875,0
580,26493950.0,13985640.0,109.9873,0
581,26493960.0,13985600.0,109.9872,0
582,26493960.0,13985560.0,109.987,0
583,26493970.0,13985520.0,109.9868,0
584,26493980.0,13985480.0,109.9867,0
585,26494020.0,13985430.0,109.9865,0
586,26494070.0,13985390.0,109.9863,0
587,26494120.0,13985350.0,109.9862,0
588,26494170.0,13985300.0,109.986,0
589,26494210.0,13985260.0,109.9858,0
590,26494260.0,13985220.0,109.9856,0
591,26494310.0,13985180.0,109.9855,0
592,26494350.0,13985130.0,109.9853,0
593,26494400.0,13985090.0,109.9852,0
594,26494450.0,13985050.0,109.985,0
595,26494490.0,13985010.0,109.9848,0
596,26494480.0,13985070.0,109.9849,0
597,26494460.0,13985130.0,109.9851,0
598,26494450.0,13985200.0,109.9852,0
599,26494440.0,13985260.0,109.9853,0
600,26494420.0,13985330.0,109.9854,0
601,26494410.0,13985390.0,109.9856,0
602,26494400.0,13985450.0,109.9857,0
603,26494380.0,13985520.0,109.9858,0
604,26494370.0,13985580.0,109.9859,0
605,26494350.0,13985640.0,109.9861,0
606,26494340.0,13985710.0,109.9862,0
607,26494400.0,13985770.0,109.9863,0
608,26494460.0,13985840.0,109.9864,0
609,26494520.0,13985900.0,109.9866,0
610,26494570.0,13985960.0,109.9867,0
611,26494630.0,13986030.0,109.9868,0
612,26494690.0,13986090.0,109.9869,0
613,26494750.0,13986160.0,109.9871,0
614,26494810.0,13986220.0,109.9872,0
615,26494870.0,13986280.0,109.9873,0
616,26494920.0,13986350.0,109.9874,0
617,26494980.0,13986410.0,109.9876,0
618,26495000.0,13986370.0,109.9875,0
619,26495010.0,13986330.0,109.9874,0
620,26495030.0,13986280.0,109.9873,0
621,26495050.0,13986240.0,109.9872,0
622,26495060.0,13986200.0,109.9871,0
623,26495080.0,13986160.0,109.9871,0
624,26495090.0,13986110.0,109.987,0
625,26495110.0,13986070.0,109.9869,0
626,26495130.0,13986030.0,109.9868,0
627,26495140.0,13985980.0,109.9867,0
628,26495160.0,13985940.0,109.9866,0
629,26495090.0,13985900.0,109.9866,0
630,26495030.0,13985860.0,109.9865,0
631,26494960.0,13985820.0,109.9864,0
632,26494890.0,13985770.0,109.9863,0
633,26494830.0,13985730.0,109.9862,0
634,26494760.0,13985690.0,109.9862,0
635,26494700.0,13985640.0,109.9861,0
636,26494630.0,13985600.0,109.986,0
637,26494570.0,13985560.0,109.9859,0
638,26494500.0,13985520.0,109.9858,0
639,26494440.0,13985480.0,109.9857,0
640,26494420.0,13985430.0,109.9856,0
641,26494390.0,13985390.0,109.9856,0
642,26494370.0,13985350.0,109.9855,0
643,26494350.0,13985300.0,109.9854,0
644,26494320.0,13985260.0,109.9853,0
645,26494300.0,13985220.0,109.9852,0
646,26494280.0,13985180.0,109.9852,0
647,26494250.0,13985130.0,109.9851,0
648,26494230.0,13985090.0,109.985,0
649,26494210.0,13985050.0,109.9849,0
650,26494190.0,13985010.0,109.9848,0
651,26494210.0,13985050.0,109.9849,0
652,26494240.0,13985090.0,109.985,0
653,26494270.0,13985130.0,109.9851,0
654,26494290.0,13985180.0,109.9852,0
655,26494320.0,13985220.0,109.9852,0
656,26494350.0,13985260.0,109.9853,0
657,26494380.0,13985300.0,109.9854,0
658,26494400.0,13985350.0,109.9855,0
659,26494430.0,13985390.0,109.9856,0
660,26494450.0,13985430.0,109.9856,0
661,26494480.0,13985480.0,109.9857,0
662,26494490.0,13985520.0,109.9858,0
663,26494490.0,13985560.0,109.9859,0
664,26494490.0,13985600.0,109.986,0
665,26494490.0,13985640.0,109.9861,0
